1仓,001,001
2仓,001,002
3仓,002,001
4仓,002,002
5仓,003,001
6仓,003,002
7仓（麸皮仓）,010,001
8仓,010,002
9仓,010,003
10仓,010,004
11仓,004,001
12仓,004,002
13仓,004,003
14仓,004,004
15仓,005,001
16仓,005,002
17仓,005,003
18仓,005,004
19仓,006,001
20仓,006,002
21仓,006,003
22仓,006,004
23仓,007,001
24仓,007,002
25仓,007,003
26仓,007,004
27仓,008,001
28仓,008,002
29仓,008,003
30仓,008,004
31仓,009,001
32仓,009,002
33仓,009,003
34仓,009,004
